token,pos,syn_label,lemma,m_desc,m_type
harry,v,S,yes,CareVice,2
harshness,n,S,no,CareVice,2
harshnesses,n,S,no,CareVice,2
hawkish,adj,S,no,CareVice,2
hazard,n,S,no,CareVice,2
hazards,n,S,no,CareVice,2
heartlessness,n,H,no,CareVice,2
heartlessnesses,n,H,no,CareVice,2
hit,v,H,yes,CareVice,2
hostilities,n,H,no,CareVice,2
hostility,n,H,no,CareVice,2
humble,v,H,yes,CareVice,2
humiliate,v,H,yes,CareVice,2
humiliated,adj,S,no,CareVice,2
hurl,v,S,yes,CareVice,2
hurt,n,S,no,CareVice,2
hurt,v,S,yes,CareVice,2
hurt,adj,O,no,CareVice,2
hurtful,adj,O,no,CareVice,2
hurting,n,H,no,CareVice,2
hurtings,n,H,no,CareVice,2
hurtle,v,O,yes,CareVice,2
hurts,n,S,no,CareVice,2
ill-treat,v,S,yes,CareVice,2
ill-treated,adj,S,no,CareVice,2
ill-treatment,n,S,no,CareVice,2
ill-treatments,n,S,no,CareVice,2
ill-usage,n,S,no,CareVice,2
ill-usages,n,S,no,CareVice,2
ill-use,v,S,yes,CareVice,2
ill-used,adj,S,no,CareVice,2
impair,v,O,yes,CareVice,2
impairment,n,S,no,CareVice,2
impairments,n,S,no,CareVice,2
imperil,v,S,yes,CareVice,2
impoverish,v,H,yes,CareVice,2
inauspicious,adj,S,no,CareVice,2
indispose,v,H,yes,CareVice,2
inhuman treatment,n,S,no,CareVice,2
inhuman treatments,n,S,no,CareVice,2
inhumanities,n,H,no,CareVice,2
inhumanity,n,H,no,CareVice,2
injure,v,H,yes,CareVice,2
injuries,n,S,no,CareVice,2
injurious,adj,S,no,CareVice,2
injuriousness,n,S,no,CareVice,2
injuriousnesses,n,S,no,CareVice,2
injury,n,S,no,CareVice,2
insecure,adj,A,no,CareVice,2
insecurely,adv,A,no,CareVice,2
insecureness,n,A,no,CareVice,2
insecurities,n,A,no,CareVice,2
insecurity,n,A,no,CareVice,2
insult,n,S,no,CareVice,2
insults,n,S,no,CareVice,2
intensities,n,H,no,CareVice,2
intensity,n,H,no,CareVice,2
intensiveness,n,H,no,CareVice,2
intensivenesses,n,H,no,CareVice,2
jam,v,S,yes,CareVice,2
jeopardies,n,S,no,CareVice,2
jeopardise,v,S,yes,CareVice,2
jeopardize,v,S,yes,CareVice,2
jeopardy,n,S,no,CareVice,2
kill,n,O,no,CareVice,2
kill,v,O,yes,CareVice,2
killed,v,O,yes,CareVice,2
killer,n,O,no,CareVice,2
killers,n,O,no,CareVice,2
killing,n,S,no,CareVice,2
killing,adj,O,no,CareVice,2
killing,v,O,yes,CareVice,2
killings,n,S,no,CareVice,2
kills,n,O,no,CareVice,2
kills,v,O,yes,CareVice,2
lash,v,H,yes,CareVice,2
lash out,v,S,yes,CareVice,2
lay waste to,v,S,yes,CareVice,2
laying waste,n,S,no,CareVice,2
legal injuries,n,S,no,CareVice,2
legal injury,n,S,no,CareVice,2
lesion,n,S,no,CareVice,2
lesions,n,S,no,CareVice,2
lose,v,S,yes,CareVice,2
loss,n,H,no,CareVice,2
losses,n,H,no,CareVice,2
lunge,v,S,yes,CareVice,2
maimed,n,S,no,CareVice,2
malevolence,n,H,no,CareVice,2
malevolences,n,H,no,CareVice,2
malevolencies,n,H,no,CareVice,2
malevolency,n,H,no,CareVice,2
malice,n,H,no,CareVice,2
malices,n,H,no,CareVice,2
maltreat,v,S,yes,CareVice,2
maltreated,adj,S,no,CareVice,2
maltreater,n,S,no,CareVice,2
maltreaters,n,S,no,CareVice,2
maltreatment,n,H,no,CareVice,2
maltreatments,n,H,no,CareVice,2
mar,v,S,yes,CareVice,2
martial,adj,S,no,CareVice,2
martyr,n,S,no,CareVice,2
martyrs,n,S,no,CareVice,2
menace,v,S,yes,CareVice,2
mercilessness,n,S,no,CareVice,2
mercilessnesses,n,S,no,CareVice,2
militant,adj,S,no,CareVice,2
mistreat,v,S,yes,CareVice,2
mistreated,adj,S,no,CareVice,2
mistreatment,n,H,no,CareVice,2
mistreatments,n,H,no,CareVice,2
misuse,n,S,no,CareVice,2
misuse,v,S,yes,CareVice,2
misuses,n,S,no,CareVice,2
morbidities,n,H,no,CareVice,2
morbidity,n,H,no,CareVice,2
morbidness,n,H,no,CareVice,2
morbidnesses,n,H,no,CareVice,2
mortify,v,H,yes,CareVice,2
negative,v,H,yes,CareVice,2
negative,adj,S,no,CareVice,2
noisome,adj,S,no,CareVice,2
noisomeness,n,S,no,CareVice,2
noisomenesses,n,S,no,CareVice,2
noxious,adj,S,no,CareVice,2
noxiously,adv,S,no,CareVice,2
noxiousness,n,S,no,CareVice,2
noxiousnesses,n,S,no,CareVice,2
obliterate,v,S,yes,CareVice,2
onrush,n,S,no,CareVice,2
onrushes,n,S,no,CareVice,2
onslaught,n,S,no,CareVice,2
onslaughts,n,S,no,CareVice,2
oppose,v,S,yes,CareVice,2
oppress,v,S,yes,CareVice,2
overpower,v,H,yes,CareVice,2
overtake,v,H,yes,CareVice,2
overwhelm,v,H,yes,CareVice,2
overwork,v,S,yes,CareVice,2
pain,n,H,no,CareVice,2
pain,v,S,yes,CareVice,2
painfulness,n,H,no,CareVice,2
painfulnesses,n,H,no,CareVice,2
pains,n,H,no,CareVice,2
peril,v,S,yes,CareVice,2
peril,n,S,no,CareVice,2
perils,n,S,no,CareVice,2
pitilessness,n,S,no,CareVice,2
pitilessnesses,n,S,no,CareVice,2
plaintiff,n,A,no,CareVice,2
plaintiffs,n,A,no,CareVice,2
plan of attack,n,S,no,CareVice,2
plans of attack,n,S,no,CareVice,2
pooh-pooh,v,S,yes,CareVice,2
prosecute,v,A,yes,CareVice,2
prosecution,n,A,no,CareVice,2
prosecutions,n,A,no,CareVice,2
provoke,v,H,yes,CareVice,2
pugilism,n,H,no,CareVice,2
pugilisms,n,H,no,CareVice,2
push,v,S,yes,CareVice,2
putting to death,n,S,no,CareVice,2
put-upon,adj,S,no,CareVice,2
queer,v,S,yes,CareVice,2
quelling,n,S,no,CareVice,2
quellings,n,S,no,CareVice,2
ravage,v,H,yes,CareVice,2
ravage,n,O,no,CareVice,2
ravages,n,O,no,CareVice,2
reject,v,S,yes,CareVice,2
rejection,n,H,no,CareVice,2
rejections,n,H,no,CareVice,2
revilement,n,S,no,CareVice,2
revilements,n,S,no,CareVice,2
risk,n,S,no,CareVice,2
risks,n,S,no,CareVice,2
ruin,n,O,no,CareVice,2
ruin,v,O,yes,CareVice,2
ruination,n,S,no,CareVice,2
ruinations,n,S,no,CareVice,2
ruined,adj,O,no,CareVice,2
ruiner,n,O,no,CareVice,2
ruiners,n,O,no,CareVice,2
ruining,n,S,no,CareVice,2
ruinings,n,S,no,CareVice,2
ruinous,adj,O,no,CareVice,2
ruinously,adv,O,no,CareVice,2
ruins,n,O,no,CareVice,2
ruthlessness,n,S,no,CareVice,2
ruthlessnesses,n,S,no,CareVice,2
savage,adj,S,no,CareVice,2
savagely,adv,S,no,CareVice,2
savageries,n,S,no,CareVice,2
savagery,n,S,no,CareVice,2
scathe,n,S,no,CareVice,2
scathes,n,S,no,CareVice,2
scorn,v,S,yes,CareVice,2
scotch,v,H,yes,CareVice,2
scourge,v,H,yes,CareVice,2
scrapper,n,S,no,CareVice,2
scrappers,n,S,no,CareVice,2
scupper,v,S,yes,CareVice,2
set on,v,S,yes,CareVice,2
shoot down,v,S,yes,CareVice,2
sick people,n,S,no,CareVice,2
sick person,n,S,no,CareVice,2
slayer,n,S,no,CareVice,2
slayers,n,S,no,CareVice,2
smash,v,S,yes,CareVice,2
snipe,v,H,yes,CareVice,2
spite,v,S,yes,CareVice,2
spoil,v,H,yes,CareVice,2
spotted,adj,S,no,CareVice,2
spurn,v,O,yes,CareVice,2
squash,v,S,yes,CareVice,2
squeeze,v,S,yes,CareVice,2
squelch,v,S,yes,CareVice,2
stabbing,adj,S,no,CareVice,2
stamp,v,S,yes,CareVice,2
stamp out,v,S,yes,CareVice,2
state of war,n,S,no,CareVice,2
state of wars,n,S,no,CareVice,2
stifling,n,S,no,CareVice,2
stiflings,n,S,no,CareVice,2
stomach,v,S,yes,CareVice,2
stomp,v,O,yes,CareVice,2
struggle,n,H,no,CareVice,2
struggle,v,H,yes,CareVice,2
struggles,n,H,no,CareVice,2
suffer,v,O,yes,CareVice,2
sufferable,adj,O,no,CareVice,2
sufferance,n,O,no,CareVice,2
sufferances,n,O,no,CareVice,2
sufferer,n,O,no,CareVice,2
sufferers,n,O,no,CareVice,2
suffering,n,O,no,CareVice,2
suffering,adj,O,no,CareVice,2
sufferings,n,O,no,CareVice,2
sunk,adj,S,no,CareVice,2
suppression,n,S,no,CareVice,2
suppressions,n,S,no,CareVice,2
tearing,adj,S,no,CareVice,2
terminate,v,H,yes,CareVice,2
termination,n,H,no,CareVice,2
terminations,n,H,no,CareVice,2
threaten,v,S,yes,CareVice,2
throw,v,H,yes,CareVice,2
thrust,v,S,yes,CareVice,2
thwart,v,H,yes,CareVice,2
tolerate,v,S,yes,CareVice,2
toss,v,H,yes,CareVice,2
trauma,n,S,no,CareVice,2
traumas,n,S,no,CareVice,2
trigger-happy,adj,S,no,CareVice,2
trounce,v,S,yes,CareVice,2
tucker,v,H,yes,CareVice,2
turbulence,n,H,no,CareVice,2
turbulences,n,H,no,CareVice,2
uncompassionate,adj,A,no,CareVice,2
undergo,v,H,yes,CareVice,2
undoer,n,S,no,CareVice,2
undoers,n,S,no,CareVice,2
unfavorable,n,H,no,CareVice,2
unfortunate,n,H,no,CareVice,2
unfortunates,n,H,no,CareVice,2
unmake,v,H,yes,CareVice,2
unpeaceful,adj,A,no,CareVice,2
unprotected,adj,A,no,CareVice,2
unprotective,adj,A,no,CareVice,2
unsympathetic,adj,A,no,CareVice,2
unsympathetically,adv,A,no,CareVice,2
untune,v,H,yes,CareVice,2
uprooter,n,S,no,CareVice,2
uprooters,n,S,no,CareVice,2
upset,v,H,yes,CareVice,2
vanquish,v,S,yes,CareVice,2
vehemence,n,S,no,CareVice,2
vehemences,n,S,no,CareVice,2
vehement,adj,S,no,CareVice,2
vicious,adj,S,no,CareVice,2
viciouser,adj,S,no,CareVice,2
viciousest,adj,S,no,CareVice,2
viciously,adv,S,no,CareVice,2
viciousness,n,S,no,CareVice,2
viciousnesses,n,S,no,CareVice,2
victim,n,H,no,CareVice,2
victimised,adj,S,no,CareVice,2
victimized,adj,S,no,CareVice,2
victims,n,H,no,CareVice,2
vilification,n,S,no,CareVice,2
vilifications,n,S,no,CareVice,2
violence,n,O,no,CareVice,2
violences,n,O,no,CareVice,2
violent,adj,O,no,CareVice,2
violent death,n,S,no,CareVice,2
violent deaths,n,S,no,CareVice,2
violenter,adj,O,no,CareVice,2
violentest,adj,O,no,CareVice,2
violently,adv,O,no,CareVice,2
wantonness,n,S,no,CareVice,2
wantonnesses,n,S,no,CareVice,2
war,n,O,no,CareVice,2
war,v,O,yes,CareVice,2
warfare,n,S,no,CareVice,2
warlike,adj,O,no,CareVice,2
warlord,n,O,no,CareVice,2
warlords,n,O,no,CareVice,2
warplane,n,H,no,CareVice,2
warplanes,n,H,no,CareVice,2
war-ridden,adj,S,no,CareVice,2
warring,adj,O,no,CareVice,2
wars,n,O,no,CareVice,2
washed-up,adj,S,no,CareVice,2
waster,n,S,no,CareVice,2
wasters,n,S,no,CareVice,2
weakened,adj,S,no,CareVice,2
wild,adj,S,no,CareVice,2
wilder,adj,S,no,CareVice,2
wildest,adj,S,no,CareVice,2
wildness,n,S,no,CareVice,2
wildnesses,n,S,no,CareVice,2
wipe out,v,S,yes,CareVice,2
wiped out,adj,S,no,CareVice,2
wipeout,n,H,no,CareVice,2
wipeouts,n,H,no,CareVice,2
withdrawal,n,H,no,CareVice,2
withdrawals,n,H,no,CareVice,2
woe,n,S,no,CareVice,2
woes,n,S,no,CareVice,2
worsen,v,H,yes,CareVice,2
wound,v,H,yes,CareVice,2
wound,n,O,no,CareVice,2
wound,adj,O,no,CareVice,2
wounded,adj,S,no,CareVice,2
wounded,n,O,no,CareVice,2
wounding,n,S,no,CareVice,2
wounding,adj,O,no,CareVice,2
woundings,n,S,no,CareVice,2
wounds,n,O,no,CareVice,2
wrecking,n,S,no,CareVice,2
wreckings,n,S,no,CareVice,2
aboveboard,adv,S,no,FairnessVirtue,3
adjudicator,n,H,no,FairnessVirtue,3
adjudicators,n,H,no,FairnessVirtue,3
admit,v,A,yes,FairnessVirtue,3
apologist,n,S,no,FairnessVirtue,3
apologists,n,S,no,FairnessVirtue,3
balance,n,S,no,FairnessVirtue,3
balance,v,O,yes,FairnessVirtue,3
balanced,adj,O,no,FairnessVirtue,3
balances,n,S,no,FairnessVirtue,3
broad,adj,S,no,FairnessVirtue,3
broader,adj,S,no,FairnessVirtue,3
broadest,adj,S,no,FairnessVirtue,3
candidly,adv,S,no,FairnessVirtue,3
candor,n,S,no,FairnessVirtue,3
candour,n,S,no,FairnessVirtue,3
ceaseless,adj,S,no,FairnessVirtue,3
changeless,adj,S,no,FairnessVirtue,3
classless,adj,S,no,FairnessVirtue,3
compeer,n,S,no,FairnessVirtue,3
compeers,n,S,no,FairnessVirtue,3
conformance,n,H,no,FairnessVirtue,3
conformances,n,H,no,FairnessVirtue,3
constant,adj,O,no,FairnessVirtue,3
constant quantities,n,S,no,FairnessVirtue,3
constant quantity,n,S,no,FairnessVirtue,3
continuant,adj,S,no,FairnessVirtue,3
counterbalance,n,S,no,FairnessVirtue,3
counterbalances,n,S,no,FairnessVirtue,3
counterpoise,n,S,no,FairnessVirtue,3
counterpoises,n,S,no,FairnessVirtue,3
counterweight,n,S,no,FairnessVirtue,3
counterweights,n,S,no,FairnessVirtue,3
Department of Justice,n,S,no,FairnessVirtue,3
Departments of Justice,n,S,no,FairnessVirtue,3
desegregate,v,A,yes,FairnessVirtue,3
egalitarian,n,S,no,FairnessVirtue,3
egalitarian,adj,O,no,FairnessVirtue,3
egalitarianism,n,S,no,FairnessVirtue,3
egalitarianisms,n,S,no,FairnessVirtue,3
egalitarians,n,S,no,FairnessVirtue,3
equable,adj,O,no,FairnessVirtue,3
equal,adj,A,no,FairnessVirtue,3
equal,n,O,no,FairnessVirtue,3
equal,v,O,yes,FairnessVirtue,3
equalisation,n,O,no,FairnessVirtue,3
equalisations,n,O,no,FairnessVirtue,3
equalise,v,S,yes,FairnessVirtue,3
equaliser,n,O,no,FairnessVirtue,3
equalisers,n,O,no,FairnessVirtue,3
equalitarian,n,O,no,FairnessVirtue,3
equalitarianism,n,O,no,FairnessVirtue,3
equalitarianisms,n,O,no,FairnessVirtue,3
equalitarians,n,O,no,FairnessVirtue,3
equalities,n,O,no,FairnessVirtue,3
equality,n,O,no,FairnessVirtue,3
equalization,n,S,no,FairnessVirtue,3
equalizations,n,S,no,FairnessVirtue,3
equalize,v,S,yes,FairnessVirtue,3
equalizer,n,S,no,FairnessVirtue,3
equalizers,n,S,no,FairnessVirtue,3
equally,adv,A,no,FairnessVirtue,3
equals,n,O,no,FairnessVirtue,3
equate,v,S,yes,FairnessVirtue,3
equation,n,S,no,FairnessVirtue,3
equations,n,S,no,FairnessVirtue,3
equilibrate,v,S,yes,FairnessVirtue,3
equilibrise,v,S,yes,FairnessVirtue,3
equilibrium,n,S,no,FairnessVirtue,3
equilibriums,n,S,no,FairnessVirtue,3
equilibrize,v,S,yes,FairnessVirtue,3
equipoise,n,S,no,FairnessVirtue,3
equipoises,n,S,no,FairnessVirtue,3
equitable,adj,A,no,FairnessVirtue,3
equities,n,S,no,FairnessVirtue,3
equity,n,S,no,FairnessVirtue,3
equivalence,n,S,no,FairnessVirtue,3
equivalences,n,S,no,FairnessVirtue,3
equivalent,adj,S,no,FairnessVirtue,3
equivalent,n,O,no,FairnessVirtue,3
equivalents,n,O,no,FairnessVirtue,3
evenhandedly,adv,S,no,FairnessVirtue,3
evenly,adv,S,no,FairnessVirtue,3
evenness,n,O,no,FairnessVirtue,3
evennesses,n,O,no,FairnessVirtue,3
even-tempered,adj,S,no,FairnessVirtue,3
every bit,adv,S,no,FairnessVirtue,3
exoneration,n,H,no,FairnessVirtue,3
exonerations,n,H,no,FairnessVirtue,3
fair,adj,A,no,FairnessVirtue,3
fair,n,O,no,FairnessVirtue,3
fair,v,O,yes,FairnessVirtue,3
fair,adv,S,no,FairnessVirtue,3
fairer,adj,A,no,FairnessVirtue,3
fairest,adj,A,no,FairnessVirtue,3
fairly,adv,A,no,FairnessVirtue,3
fairminded,adj,O,no,FairnessVirtue,3
fair-minded,adj,O,no,FairnessVirtue,3
fairmindedness,n,O,no,FairnessVirtue,3
fair-mindedness,n,S,no,FairnessVirtue,3
fairmindednesses,n,O,no,FairnessVirtue,3
fair-mindednesses,n,S,no,FairnessVirtue,3
fairness,n,A,no,FairnessVirtue,3
fairnesses,n,A,no,FairnessVirtue,3
fairplay,n,O,no,FairnessVirtue,3
fairplays,n,O,no,FairnessVirtue,3
fairs,n,O,no,FairnessVirtue,3
fair-trade,n,O,no,FairnessVirtue,3
fair-trades,n,O,no,FairnessVirtue,3
frankly,adv,S,no,FairnessVirtue,3
get even,v,S,yes,FairnessVirtue,3
give-and-take,n,S,no,FairnessVirtue,3
give-and-takes,n,S,no,FairnessVirtue,3
good-tempered,adj,S,no,FairnessVirtue,3
guileless,adj,S,no,FairnessVirtue,3
homologous,adj,O,no,FairnessVirtue,3
honest,adj,A,no,FairnessVirtue,3
honesties,n,S,no,FairnessVirtue,3
honestly,adv,O,no,FairnessVirtue,3
honestness,n,O,no,FairnessVirtue,3
honest-to-goodness,adj,O,no,FairnessVirtue,3
honesty,n,S,no,FairnessVirtue,3
impartial,adj,S,no,FairnessVirtue,3
impartialities,n,H,no,FairnessVirtue,3
impartiality,n,H,no,FairnessVirtue,3
impartially,adv,O,no,FairnessVirtue,3
in return,adv,S,no,FairnessVirtue,3
include,v,A,yes,FairnessVirtue,3
inclusion,n,A,no,FairnessVirtue,3
inclusions,n,A,no,FairnessVirtue,3
indiscriminate,adj,A,no,FairnessVirtue,3
integrated,adj,A,no,FairnessVirtue,3
integration,n,A,no,FairnessVirtue,3
integrations,n,A,no,FairnessVirtue,3
interchange,n,S,no,FairnessVirtue,3
interchanges,n,S,no,FairnessVirtue,3
invariabilities,n,S,no,FairnessVirtue,3
invariability,n,S,no,FairnessVirtue,3
invariable,n,S,no,FairnessVirtue,3
invariables,n,S,no,FairnessVirtue,3
invariant,adj,S,no,FairnessVirtue,3
judge,n,S,no,FairnessVirtue,3
judges,n,S,no,FairnessVirtue,3
judicature,n,S,no,FairnessVirtue,3
judicatures,n,S,no,FairnessVirtue,3
jurist,n,S,no,FairnessVirtue,3
jurists,n,S,no,FairnessVirtue,3
just,adj,A,no,FairnessVirtue,3
juster,adj,A,no,FairnessVirtue,3
justest,adj,A,no,FairnessVirtue,3
justice,n,A,no,FairnessVirtue,3
Justice Department,n,S,no,FairnessVirtue,3
Justice Departments,n,S,no,FairnessVirtue,3
justices,n,A,no,FairnessVirtue,3
justifiable,adj,O,no,FairnessVirtue,3
justifiably,adv,A,no,FairnessVirtue,3
justification,n,O,no,FairnessVirtue,3
justifications,n,O,no,FairnessVirtue,3
justificative,adj,O,no,FairnessVirtue,3
justificatory,adj,S,no,FairnessVirtue,3
justified,adj,O,no,FairnessVirtue,3
justifiedly,adv,O,no,FairnessVirtue,3
justifier,n,O,no,FairnessVirtue,3
justifiers,n,O,no,FairnessVirtue,3
justly,adv,A,no,FairnessVirtue,3
justness,n,H,no,FairnessVirtue,3
justnesses,n,H,no,FairnessVirtue,3
large-minded,adj,S,no,FairnessVirtue,3
leveling,n,S,no,FairnessVirtue,3
levelings,n,S,no,FairnessVirtue,3
liberal,adj,S,no,FairnessVirtue,3
like,adj,S,no,FairnessVirtue,3
match,v,S,yes,FairnessVirtue,3
middling,adv,S,no,FairnessVirtue,3
moderately,adv,S,no,FairnessVirtue,3
mutual,adj,S,no,FairnessVirtue,3
mutually,adv,S,no,FairnessVirtue,3
never-ending,adj,S,no,FairnessVirtue,3
nonpartisanship,n,H,no,FairnessVirtue,3
nonpartisanships,n,H,no,FairnessVirtue,3
par,n,S,no,FairnessVirtue,3
parities,n,H,no,FairnessVirtue,3
parity,n,H,no,FairnessVirtue,3
pars,n,S,no,FairnessVirtue,3
passably,adv,S,no,FairnessVirtue,3
peer,n,S,no,FairnessVirtue,3
peers,n,S,no,FairnessVirtue,3
perpetual,adj,S,no,FairnessVirtue,3
placid,adj,S,no,FairnessVirtue,3
placider,adj,S,no,FairnessVirtue,3
placidest,adj,S,no,FairnessVirtue,3
poise,v,S,yes,FairnessVirtue,3
proportion,n,A,no,FairnessVirtue,3
proportionalities,n,S,no,FairnessVirtue,3
proportionality,n,S,no,FairnessVirtue,3
proportionate,adj,A,no,FairnessVirtue,3
proportionately,adv,A,no,FairnessVirtue,3
proportions,n,A,no,FairnessVirtue,3
reasonable,adj,S,no,FairnessVirtue,3
reasonably,adv,S,no,FairnessVirtue,3
reciprocal,n,O,no,FairnessVirtue,3
reciprocal,adj,O,no,FairnessVirtue,3
reciprocalities,n,H,no,FairnessVirtue,3
reciprocality,n,H,no,FairnessVirtue,3
reciprocally,adv,O,no,FairnessVirtue,3
reciprocals,n,O,no,FairnessVirtue,3
reciprocate,v,O,yes,FairnessVirtue,3
reciprocating,adj,S,no,FairnessVirtue,3
reciprocation,n,O,no,FairnessVirtue,3
reciprocations,n,O,no,FairnessVirtue,3
reciprocative,adj,O,no,FairnessVirtue,3
reciprocatory,adj,O,no,FairnessVirtue,3
reciprocities,n,H,no,FairnessVirtue,3
reciprocity,n,H,no,FairnessVirtue,3
reliable,adj,S,no,FairnessVirtue,3
rightly,adv,S,no,FairnessVirtue,3
rights,n,O,no,FairnessVirtue,3
rival,v,S,yes,FairnessVirtue,3
same,adj,S,no,FairnessVirtue,3
sameness,n,H,no,FairnessVirtue,3
samenesses,n,H,no,FairnessVirtue,3
sane,adj,S,no,FairnessVirtue,3
saner,adj,S,no,FairnessVirtue,3
sanest,adj,S,no,FairnessVirtue,3
scrupulous,adj,A,no,FairnessVirtue,3
sensible,adj,S,no,FairnessVirtue,3
tantamount,adj,S,no,FairnessVirtue,3
tolerant,adj,O,no,FairnessVirtue,3
unbiased,adj,O,no,FairnessVirtue,3
unbiassed,adj,S,no,FairnessVirtue,3
unceasing,adj,S,no,FairnessVirtue,3
undiscriminating,adj,A,no,FairnessVirtue,3
unprejudiced,adj,A,no,FairnessVirtue,3
unvarying,adj,S,no,FairnessVirtue,3
veracious,adj,S,no,FairnessVirtue,3
vindication,n,H,no,FairnessVirtue,3
vindications,n,H,no,FairnessVirtue,3
vindicator,n,S,no,FairnessVirtue,3
vindicators,n,S,no,FairnessVirtue,3
vindicatory,adj,S,no,FairnessVirtue,3
with reason,adv,S,no,FairnessVirtue,3
advantage,n,H,no,FairnessVice,4
advantages,n,H,no,FairnessVice,4
analogous,adj,A,no,FairnessVirtue,4
autologous,adj,A,no,FairnessVirtue,4
banishment,n,H,no,FairnessVice,4
banishments,n,H,no,FairnessVice,4
bar,v,S,yes,FairnessVice,4
below the belt,adv,S,no,FairnessVice,4
bias,n,O,no,FairnessVice,4
bias,v,O,yes,FairnessVice,4
bias,adj,O,no,FairnessVice,4
biased,adj,O,no,FairnessVice,4
biases,n,O,no,FairnessVice,4
bigot,n,O,no,FairnessVice,4
bigoted,adj,O,no,FairnessVice,4
bigotries,n,O,no,FairnessVice,4
bigotry,n,O,no,FairnessVice,4
bigots,n,O,no,FairnessVice,4
boot out,v,S,yes,FairnessVice,4
bribable,adj,S,no,FairnessVice,4
corruptible,adj,S,no,FairnessVice,4
debar,v,S,yes,FairnessVice,4
decouple,v,S,yes,FairnessVice,4
differentiator,n,S,no,FairnessVice,4
differentiators,n,S,no,FairnessVice,4
disadvantage,v,H,yes,FairnessVice,4
disallow,v,H,yes,FairnessVice,4
disassociate,v,S,yes,FairnessVice,4
discriminate,v,O,yes,FairnessVice,4
discriminate,adj,O,no,FairnessVice,4
discriminating,adj,S,no,FairnessVice,4
discrimination,n,O,no,FairnessVice,4
discriminations,n,O,no,FairnessVice,4
discriminative,adj,O,no,FairnessVice,4
discriminator,n,O,no,FairnessVice,4
discriminators,n,O,no,FairnessVice,4
discriminatory,adj,S,no,FairnessVice,4
disfavor,v,H,yes,FairnessVice,4
disfavour,v,H,yes,FairnessVice,4
dishonest,adj,O,no,FairnessVice,4
dishonesties,n,A,no,FairnessVice,4
dishonestly,adv,A,no,FairnessVice,4
dishonesty,n,A,no,FairnessVice,4
disjoint,v,S,yes,FairnessVice,4
disparities,n,H,no,FairnessVice,4
disparity,n,H,no,FairnessVice,4
disproportion,n,O,no,FairnessVice,4
disproportional,adj,O,no,FairnessVice,4
disproportionate,adj,S,no,FairnessVice,4
disproportionately,adv,O,no,FairnessVice,4
disproportions,n,O,no,FairnessVice,4
dissociate,v,O,yes,FairnessVice,4
dogmatism,n,S,no,FairnessVice,4
dogmatisms,n,S,no,FairnessVice,4
druther,n,S,no,FairnessVice,4
druthers,n,S,no,FairnessVice,4
eject,v,S,yes,FairnessVice,4
elitist,n,A,no,FairnessVice,4
elitists,n,A,no,FairnessVice,4
except,v,S,yes,FairnessVice,4
exception,n,S,no,FairnessVice,4
exceptions,n,S,no,FairnessVice,4
exclude,v,O,yes,FairnessVice,4
exclusion,n,O,no,FairnessVice,4
exclusions,n,O,no,FairnessVice,4
excommunication,n,S,no,FairnessVice,4
excommunications,n,S,no,FairnessVice,4
expel,v,S,yes,FairnessVice,4
expulsion,n,S,no,FairnessVice,4
expulsions,n,S,no,FairnessVice,4
favoritism,n,S,no,FairnessVice,4
favoritisms,n,S,no,FairnessVice,4
favouritism,n,S,no,FairnessVice,4
favouritisms,n,S,no,FairnessVice,4
forbid,v,H,yes,FairnessVice,4
heterologous,adj,A,no,FairnessVice,4
imbalance,n,A,no,FairnessVice,4
imbalances,n,A,no,FairnessVice,4
inclination,n,H,no,FairnessVice,4
inclinations,n,H,no,FairnessVice,4
inconstant,adj,A,no,FairnessVice,4
indefensible,adj,S,no,FairnessVice,4
inequalities,n,A,no,FairnessVice,4
inequality,n,A,no,FairnessVice,4
inequitable,adj,S,no,FairnessVice,4
inequities,n,S,no,FairnessVice,4
inequity,n,S,no,FairnessVice,4
inexcusably,adv,S,no,FairnessVice,4
injustice,n,S,no,FairnessVice,4
injustices,n,S,no,FairnessVice,4
insupportable,adj,S,no,FairnessVice,4
intolerance,n,H,no,FairnessVice,4
intolerances,n,H,no,FairnessVice,4
intolerant,adj,A,no,FairnessVice,4
invidious,adj,S,no,FairnessVice,4
judgement,n,H,no,FairnessVice,4
judgments,n,H,no,FairnessVice,4
judgements,n,H,no,FairnessVice,4
judging,n,H,no,FairnessVice,4
judgings,n,H,no,FairnessVice,4
judgment,n,H,no,FairnessVice,4
keep out,v,S,yes,FairnessVice,4
kick out,v,S,yes,FairnessVice,4
leave out,v,S,yes,FairnessVice,4
nonreciprocal,adj,A,no,FairnessVice,4
omission,n,H,no,FairnessVice,4
omissions,n,H,no,FairnessVice,4
omit,v,S,yes,FairnessVice,4
one-sided,adj,S,no,FairnessVice,4
partial,adj,S,no,FairnessVice,4
partialities,n,H,no,FairnessVice,4
partiality,n,H,no,FairnessVice,4
penchant,n,S,no,FairnessVice,4
penchants,n,S,no,FairnessVice,4
preconception,n,S,no,FairnessVice,4
preconceptions,n,S,no,FairnessVice,4
predilection,n,S,no,FairnessVice,4
predilections,n,S,no,FairnessVice,4
predisposition,n,H,no,FairnessVice,4
predispositions,n,H,no,FairnessVice,4
preference,n,O,no,FairnessVice,4
preferences,n,O,no,FairnessVice,4
preferential,adj,S,no,FairnessVice,4
prejudge,v,O,yes,FairnessVice,4
prejudgement,n,O,no,FairnessVice,4
prejudgements,n,O,no,FairnessVice,4
